Gender,Education,Alcohol(Class),Cannabis(Class),Crack(Class),Heroin(Class)
Mujer,Diploma/certificado profesional,En la última semana,Nunca,Nunca,Nunca
Hombre,Doctorado finalizado,En la última semana,En el último mes,Nunca,Nunca
Hombre,Diploma/certificado profesional,Ayer,En la última decada,Nunca,Nunca
Mujer,Maestría finalizada,En el último mes,En la última semana,Nunca,Nunca
Mujer,Doctorado finalizado,En el último mes,En la última decada,Nunca,Nunca
Mujer,Dejó la escuela a los 18 años,En la última decada,Nunca,Nunca,Nunca
Hombre,Maestría finalizada,Ayer,Hace mas de una decada,Nunca,Nunca
Hombre,Dejó la escuela a los 16 años,En la última semana,Nunca,Nunca,Nunca
Mujer,Diploma/certificado profesional,En el último mes,Nunca,Nunca,Nunca
Hombre,Maestría finalizada,Ayer,Hace mas de una decada,Nunca,Nunca
Mujer,Grado Universitario,En la última semana,En la última semana,Nunca,Nunca
Hombre,Educación Técnica o de Universidad(No finalizada),En la última semana,En el último mes,Nunca,Nunca
Mujer,Grado Universitario,En la última semana,En la última decada,Nunca,Nunca
Mujer,Diploma/certificado profesional,Hace mas de una decada,Nunca,Nunca,Nunca
Mujer,Diploma/certificado profesional,Ayer,Nunca,Nunca,Nunca
Hombre,Grado Universitario,En la última semana,Hace mas de una decada,Nunca,Nunca
Mujer,Educación Técnica o de Universidad(No finalizada),Ayer,En la última decada,Nunca,Nunca
Hombre,Dejó la escuela a los 16 años,Ayer,Ayer,Nunca,Nunca
Hombre,Grado Universitario,Ayer,En la última decada,Nunca,Nunca
Hombre,Diploma/certificado profesional,En el último mes,Hace mas de una decada,Nunca,Nunca
Hombre,Diploma/certificado profesional,Ayer,En la última semana,Nunca,Nunca
Hombre,Dejó la escuela antes de los 16 años,En la última semana,Hace mas de una decada,Nunca,Nunca
Hombre,Grado Universitario,En el último mes,Nunca,Nunca,Nunca
Hombre,Dejó la escuela a los 16 años,Ayer,En la última semana,Nunca,Hace mas de una decada
Hombre,Grado Universitario,En la última semana,Hace mas de una decada,Nunca,Nunca
Hombre,Educación Técnica o de Universidad(No finalizada),En la última semana,Hace mas de una decada,Nunca,Nunca
Mujer,Dejó la escuela a los 18 años,Ayer,Hace mas de una decada,Nunca,Nunca
Hombre,Grado Universitario,Ayer,Ayer,Nunca,Nunca
Mujer,Maestría finalizada,Ayer,Hace mas de una decada,Nunca,Nunca
Hombre,Doctorado finalizado,Nunca,Nunca,Nunca,Nunca
Hombre,Dejó la escuela a los 16 años,Ayer,En la última semana,Nunca,Hace mas de una decada
Mujer,Dejó la escuela a los 16 años,En el último año,Nunca,Nunca,Nunca
Hombre,Grado Universitario,Ayer,En la última decada,Nunca,Nunca
Hombre,Grado Universitario,Ayer,Nunca,Nunca,Nunca
Hombre,Grado Universitario,En el último mes,En la última semana,Hace mas de una decada,Hace mas de una decada
Hombre,Dejó la escuela antes de los 16 años,En el último año,Nunca,Nunca,Nunca
Hombre,Grado Universitario,Ayer,Nunca,Nunca,Nunca
Hombre,Dejó la escuela antes de los 16 años,Ayer,En la última decada,Nunca,Nunca
Hombre,Grado Universitario,Ayer,Hace mas de una decada,Nunca,Nunca
Mujer,Diploma/certificado profesional,Ayer,Hace mas de una decada,Nunca,Nunca
